Acceptor,Architecture,Construction ,SMILES,HOMO,LUMO,Gap,PCE,Voc,Joc
PC71BM,bulk,polymer,Cc1c2ccsc2c2sc(-c3ccc(C4=C5C(=O)N(C)C(c6cccs6)=C5C(=O)N4C)s3)cc2c1C,-0.183,-0.105,0.078,1.909,0.38,77.39
TiO2,DSSC,molecule,CC1(C)CC(C=Cc2ccc(N(c3ccccc3)c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)=CC(=C(C#N)C(=O)O)C1,-0.187,-0.103,0.083,1.938,0.487,61.27
PC61BM,bulk,polymer,C=Cc1ccc2c3ccccc3n(-c3ccc(OC)cc3)c2c1,-0.203,-0.05,0.153,0.0,0.917,0.0
PC71BM,bulk,polymer,COc1c2ccsc2c(OC)c2cc(-c3scc4sc(S(C)(=O)=O)cc43)sc21,-0.196,-0.09,0.106,0.776,0.721,17.04
PC61BM,bulk,polymer,CC1=CC(c2ccc(-c3cc(C)c(-c4cc5c(s4)c4sccc4c4nc(C)c(C)nc54)s3)c3nsnc32)=S=C1,-0.188,-0.106,0.082,2.217,0.52,65.68
PC61BM,bulk,molecule,Cc1cc(C=C2C(=O)c3ccccc3C2=O)sc1-c1cc(C)c(-c2ccc(-c3sc(C4=S=C(C=C5C(=O)c6ccccc6C5=O)C=C4C)cc3C)s2)s1,-0.192,-0.117,0.075,3.626,0.625,89.54
PC71BM,bulk,polymer,CN1C(=O)c2csc(-c3cc4c(s3)-c3sccc3[Si]4(C)C)c2C1=O,-0.202,-0.09,0.112,0.631,0.883,101.0
PC71BM,bulk,polymer,Cn1c2ccccc2c2ccc(-c3ccc(-c4ccc(-c5cccs5)c5nsnc54)s3)cc21,-0.191,-0.104,0.087,2.052,0.596,53.02
PC71BM,bulk,molecule,Cc1ccc(-c2ccc(-c3ncc(-c4cc5c(s4)-c4sc(-c6cnc(-c7ccc(-c8ccc(C)s8)s7)c7nsnc76)cc4[Si]5(C)C)c4nsnc43)s2)s1,-0.178,-0.118,0.06,2.582,0.25,158.79
PC71BM,bulk,polymer,COc1c2cc(-c3cc4c(s3)-c3sc(C5=NC6SC(c7cc8c(s7)-c7sccc7[Si]8(C)C)=NC6S5)cc3[Si]4(C)C)sc2c(OC)c2ccsc21,-0.188,-0.089,0.099,0.889,0.524,26.31
PC61BM,bulk,molecule,Cc1csc(-c2cc3c4nsnc4c(-c4cc(C)cs4)cc3c3nsnc32)c1,-0.2,-0.113,0.087,2.819,0.849,51.15
PC61BM,bulk,polymer,Cn1c(-c2ccc(-c3cccc4nsnc43)s2)ccc1C1=S=CC=C1,-0.186,-0.099,0.087,1.557,0.47,51.16
PC71BM,bulk,polymer,CC1(C)c2ccsc2-c2cc3c(cc21)-c1sc(-c2cccc4nsnc42)cc1C3(C)C,-0.188,-0.099,0.089,1.57,0.51,47.37
PC61BM,bulk,molecule,CSc1ccc(-c2ccc(-c3ccc([Si](c4ccc(-c5ccc(-c6ccc(SC)s6)s5)s4)(c4ccc(-c5ccc(-c6ccc(SC)s6)s5)s4)c4ccc(-c5ccc(-c6ccc(SC)s6)s5)s4)s3)s2)s1,-0.194,-0.082,0.112,0.469,0.675,11.13
PC61BM,bulk,polymer,Cc1cc(-c2ccc(-c3cc(C)c(-c4cccs4)s3)c3nsnc32)sc1-c1cccs1,-0.185,-0.106,0.079,2.109,0.424,76.67
TiO2,DSSC,molecule,COc1ccc(N(c2ccc(C=Cc3sc(C=C(C#N)C(=O)O)c4c3OCCO4)cc2)c2ccc(OC)cc2)cc1,-0.182,-0.097,0.086,1.299,0.359,55.7
PC71BM,bulk,polymer,Cc1ccsc1-c1ccc(-c2sc(-c3ccc4c(c3)N(C)C(=O)C4=C3c4ccccc4N(C)C3=O)cc2C)s1,-0.187,-0.11,0.076,2.685,0.489,84.75
PC71BM,bulk,molecule,CN1C(=O)C2=C(c3ccc(-c4cc5ccccc5o4)s3)N(C)C(=O)C2=C1c1ccc(-c2cc3ccccc3o2)s1,-0.184,-0.111,0.073,2.58,0.409,97.28
PC71BM,bulk,polymer,CN1C(=O)C2=C(c3cc4sc(-c5cccs5)cc4s3)N(C)C(=O)C2=C1c1cc2sccc2s1,-0.182,-0.106,0.076,1.967,0.357,84.92
TiO2,DSSC,molecule,CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4ccc(C=CC=C(C#N)C(=O)O)s4)cc3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21,-0.191,-0.11,0.081,2.682,0.609,67.9
PC61BM,bulk,polymer,CC1(C)c2ccccc2-c2ccc(-c3ccc(N(c4ccccc4)c4ccc(C=Cc5ccc(C=C(C#N)C#N)s5)cc4)cc3)cc21,-0.198,-0.115,0.083,3.244,0.784,63.7
PC71BM,bulk,polymer,COc1cc2c3ccsc3c3sc(-c4sc(-c5ccc(-c6cc(C)cs6)c6nsnc65)cc4C)cc3c2cc1OC,-0.186,-0.106,0.08,2.127,0.454,72.35
PC61BM,bilayer,molecule,N#CC(C#N)=Cc1ccc(-c2ccc(N(c3ccc(-c4ccc(C=C(C#N)C#N)s4)cc3)c3ccc(-c4ccc(C=C(C#N)C#N)s4)cc3)cc2)s1,-0.222,-0.132,0.09,4.166,1.441,44.5
PC71BM,bulk,polymer,Cc1ccsc1-c1nc2sc(-c3sc(-c4cc5c(s4)c(C#C[Si](C)(C)C)c4ccsc4c5C#C[Si](C)(C)C)cc3C)nc2s1,-0.192,-0.099,0.093,1.534,0.625,37.79
PC61BM,bulk,polymer,COc1cc(OC)cc(-c2nc3c(nc2-c2cc(OC)cc(OC)c2)c(-c2cccs2)sc3-c2cccs2)c1,-0.183,-0.099,0.084,1.442,0.378,58.81
PC71BM,bulk,polymer,Cn1c2ccccc2c2ccc(-c3ccc(-c4ccc(-c5cccs5)c5nccnc45)s3)cc21,-0.19,-0.096,0.088,1.297,0.57,35.02
PC61BM,bulk,polymer,Cc1nc2c(-c3cccs3)nnc(-c3ccc(-c4ccc5c6ccccc6n(C)c5c4)s3)c2nc1C,-0.193,-0.104,0.09,1.956,0.663,45.45
PC61BM,bulk,polymer,CC1(C)c2ccccc2-c2cc3c(cc21)-c1ccc(-c2ccc(-c4ccc(-c5cccs5)c5c4=NC(c4ccccc4)C(c4ccccc4)N=5)s2)cc1C3(C)C,-0.185,-0.116,0.07,3.217,0.443,111.94
TiO2,DSSC,molecule,Cc1cc(C)cc(-c2ccc(N(c3ccc(-c4cc5c(s4)-c4sc(C=C(C#N)C(=O)O)cc4C5(C)C)cc3)c3ccc(-c4cc(C)cc(C)c4)cc3)cc2)c1,-0.188,-0.105,0.084,2.06,0.525,60.43
PC61BM,bulk,molecule,COC(=O)C(C#N)=Cc1cc(C)c(-c2ccc(-c3sc(-c4ccc5c(c4)C(C)(C)c4cc(-c6cc(C)c(-c7ccc(-c8sc(C=C(C#N)C(=O)OC)cc8C)s7)s6)ccc4-5)cc3C)s2)s1,-0.193,-0.112,0.082,2.881,0.66,67.23
PC61BM,bulk,molecule,COc1ccc(C=Cc2ccc(C=Cc3cc(OC)c(C=Cc4ccc(C=Cc5cc(OC)c(C=Cc6ccc(C=Cc7cc(OC)c(C=O)cc7OC)s6)cc5OC)s4)cc3OC)s2)cc1,-0.171,-0.094,0.077,0.235,0.046,83.17
TiO2,DSSC,molecule,N#CC(=Cc1ccc(-c2cc(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)c(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)s2)s1)C(=O)O,-0.186,-0.111,0.075,2.597,0.45,88.85
PC61BM,bulk,polymer,Cc1csc(-c2sc(-c3cc(C)c(-c4cccs4)s3)c3sc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc23)c1,-0.187,-0.093,0.094,1.153,0.501,35.54
PC71BM,bulk,polymer,Cc1ccsc1-c1nc2sc(-c3sc(-c4ccc5c6ccccc6n(C)c5c4)cc3C)nc2s1,-0.19,-0.087,0.103,0.767,0.57,20.72
TiO2,DSSC,molecule,CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4cc5sc(C=C(C#N)C(=O)O)cc5s4)cc3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21,-0.192,-0.107,0.085,2.311,0.616,57.81
TiO2,DSSC,molecule,N#CC(=Cc1ccc(OCCCCCCOc2ccc(C=C(C#N)c3ccc([N+](=O)[O-])cc3)cc2O)c(O)c1)c1ccc([N+](=O)[O-])cc1,-0.23,-0.113,0.118,0.748,1.67,6.9
TiO2,DSSC,molecule,CC1(C)c2ccccc2-c2ccc(N(c3ccc4cc(C=Cc5ccc(C=C(C#N)C(=O)O)s5)oc4c3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21,-0.187,-0.114,0.072,3.125,0.485,99.12
PC61BM,bulk,polymer,Cc1c2cc(-c3ccc(-c4ccc(-c5cccs5)c5nn(C)nc54)s3)sc2c(C)c2ccsc21,-0.185,-0.089,0.096,0.927,0.44,32.47
PC61BM,bulk,molecule,C(=Cc1cccc2nsnc21)c1ccc(N(c2ccc(C=Cc3cccc4nsnc43)cc2)c2ccc(C=Cc3cccc4nsnc43)cc2)cc1,-0.187,-0.102,0.085,1.825,0.498,56.43
PC71BM,bulk,molecule,C[Si]1(C)c2cc(-c3cnc(-c4cccs4)c4nsnc43)sc2-c2sc(-c3cnc(-c4cccs4)c4nsnc43)cc21,-0.187,-0.12,0.067,3.923,0.483,125.02
PC61BM,bulk,polymer,Cc1ccsc1-c1ccc(-c2ccc(-c3sccc3C)s2)s1,-0.185,-0.074,0.111,0.32,0.426,11.89
PC61BM,bulk,molecule,c1csc(-c2ccc(-c3ccc(-c4c(-c5ccc(-c6cccs6)s5)sc(-c5ccc(-c6cccs6)s5)c4-c4ccc(-c5ccc(-c6cccs6)s5)s4)s3)s2)c1,-0.184,-0.085,0.099,0.701,0.415,26.09
PC71BM,bulk,polymer,Cc1cc(-c2cc(C)c(C3=S=CC=C3)s2)sc1-c1ccc(-c2cccc3nsnc32)s1,-0.185,-0.102,0.082,1.75,0.42,64.21
PC71BM,bulk,polymer,Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3cncc5nc6c7ccsc7c7sccc7c6nc53)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,-0.188,-0.106,0.082,2.224,0.52,65.9
PC61BM,bulk,polymer,C[Si]1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(C5=C(c6ccccc6)C(c6ccccc6)=C(c6ccc(-c7cccs7)s6)[Si]5(C)C)s4)s3)cc21,-0.174,-0.092,0.082,0.562,0.135,64.51
PC61BM,bulk,polymer,Cc1csc(-c2cc(-c3ccc(C)s3)c(-c3ccc(C4=C5C(=O)N(C)C(c6cccs6)=C5C(=O)N4C)s3)s2)c1,-0.18,-0.103,0.077,1.576,0.293,82.87
PC61BM,bulk,polymer,Cc1c2cc(-c3ccc(-c4c5nn(C)nc5c(-c5cccs5)c(F)c4F)s3)sc2c(C)c2ccsc21,-0.188,-0.093,0.095,1.152,0.527,33.65
PC61BM,bulk,polymer,C=Cc1ccc2c3ccc(C=Cc4cccs4)cc3n(-c3ccc(OC)cc3)c2c1,-0.19,-0.07,0.12,0.222,0.577,5.93
PC61BM,bulk,polymer,COc1ccsc1-c1ccc(-c2sc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc2OC)c2nsnc21,-0.182,-0.089,0.093,0.848,0.349,39.52
PC61BM,bulk,polymer,COC(=O)c1cc2csc(-c3ccc(-c4ccc(-c5sc(-c6ccc(-c7sccc7C)s6)cc5C)s4)s3)c2s1,-0.177,-0.089,0.088,0.701,0.22,49.18
PC71BM,bulk,molecule,Cc1nc(-c2nc(C)c(-c3ccc(-c4ccc(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)s4)s3)s2)sc1-c1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1,-0.178,-0.094,0.085,0.94,0.252,57.92
PC71BM,bulk,polymer,COC(=O)c1sc2c(-c3ccc(-c4cc5c(s4)c(-c4cc(F)c(C)s4)c4ccsc4c5-c4cc(F)c(C)s4)s3)sc(-c3cccs3)c2c1F,-0.189,-0.101,0.088,1.728,0.54,49.34
PC71BM,bulk,polymer,CC1(C)c2ccsc2-c2sc(-c3c4nsnc4cc(F)c3F)cc21,-0.197,-0.105,0.092,2.006,0.747,41.35
PC71BM,bulk,polymer,COc1c(OC)c(-c2cc3sc(-c4cc5c(s4)c(-c4ccc(C)s4)c4ccsc4c5-c4ccc(C)s4)cc3s2)c2nsnc2c1-c1cc2sccc2s1,-0.183,-0.105,0.078,1.945,0.383,78.27
PC61BM,bulk,polymer,COc1csc2c1C(C)(C)c1cc(-c3scc4c3C(=O)N(C)C4=O)sc1-2,-0.198,-0.087,0.11,0.622,0.774,12.36
PC71BM,bulk,polymer,Cc1csc(-c2cc(C)c(-c3scc4c3C(=O)N(C)C4=O)s2)c1,-0.206,-0.086,0.12,0.389,0.999,6.13
PC71BM,bulk,molecule,Cc1ccc(-c2ccc(-c3ccc(C4=C5C(=O)N(C)C(c6ccc(-c7ccc(C8=S=C(C)C=C8)s7)s6)=C5C(=O)N4C)s3)s2)s1,-0.174,-0.107,0.067,1.084,0.136,122.46
PC61BM,bulk,polymer,COc1ccc(N(c2ccc(OC)cc2)c2ccc(C3c4ccccc4-c4ccc(-c5ccc(-c6c7nsnc7c(-c7cccs7)c7nc(-c8ccccc8)c(-c8ccccc8)nc76)s5)cc43)cc2)cc1,-0.178,-0.123,0.056,2.958,0.245,186.43
PC61BM,bulk,polymer,Cn1c2ccccc2c2ccc(-c3ccc(-c4cnc(-c5cccs5)c5nonc54)s3)cc21,-0.199,-0.118,0.081,3.66,0.817,68.97
TiO2,DSSC,molecule,CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4cc5sc6cc(C=C(C#N)C(=O)O)sc6c5s4)cc3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21,-0.19,-0.108,0.082,2.476,0.58,65.67
PC61BM,bulk,polymer,Cn1c2ccccc2c2ccc(-c3ccc(-c4ccc(-c5cccs5)c5nonc54)s3)cc21,-0.196,-0.108,0.088,2.396,0.73,50.52
PC61BM,bilayer,molecule,C(=Cc1ccc(-c2ccc(N(c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)cc2)s1)c1cccs1,-0.176,-0.081,0.095,0.404,0.185,33.61
PC71BM,bulk,polymer,Cc1csc(-c2nc3sc(-c4cc(C)c(-c5cc6c(s5)-c5sccc5[Si]6(C)C)s4)nc3s2)c1,-0.184,-0.092,0.092,1.03,0.397,40.13
PC71BM,bulk,polymer,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5cccs5)c5nsnc54)s3)cc21,-0.192,-0.105,0.087,2.101,0.623,51.92
TiO2,DSSC,molecule,Cc1cc(C=C(C#N)C(=O)O)sc1-c1cc(C)c(-c2cc(C)c(-c3cc4ccc(N(c5ccc6c(c5)C(C)(C)c5ccccc5-6)c5ccc6c(c5)C(C)(C)c5ccccc5-6)cc4s3)s2)s1,-0.181,-0.111,0.07,2.369,0.336,108.58
PC61BM,bulk,polymer,COc1cccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)s4)c3nc2-c2cccc(OC)c2)c1,-0.19,-0.093,0.096,1.137,0.558,31.39
TiO2,DSSC,molecule,CC1(C)c2cc(-c3ccc(C=C(C#N)C(=O)O)s3)ccc2-c2ccc(N(c3ccccc3)c3ccc4ccc5cccc6ccc3c4c56)cc21,-0.192,-0.106,0.086,2.258,0.623,55.78
TiO2,DSSC,molecule,N#CC(=Cc1ccc(-c2ccc(-c3cc(-c4ccc(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)s4)c(-c4ccc(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)s4)s3)s2)s1)C(=O)O,-0.184,-0.112,0.072,2.714,0.411,101.95
PC61BM,bulk,polymer,COc1cccc(-c2nc3cccc(-c4cccs4)c3nc2-c2cccc(OC)c2)c1,-0.212,-0.085,0.127,0.248,1.171,3.27
TiO2,DSSC,molecule,COc1ccc(N(c2ccc(OC)cc2)c2ccc3c(c2)C(C)(C)c2c-3c3c(c4c2-c2ccc(N(c5ccc(OC)cc5)c5ccc(OC)cc5)cc2C4(C)C)-c2ccc(-c4ccc(C=C(C#N)C(=O)O)s4)cc2C3(C)C)cc1,-0.177,-0.105,0.072,1.427,0.219,100.13
PC61BM,bulk,polymer,CC1(C)c2ccccc2-c2cc3c(cc21)-c1cc2c(cc1C3(C)C)-c1ccc(-c3ccc(-c4ccc(-c5cccs5)c5nsnc54)s3)cc1C2(C)C,-0.187,-0.105,0.082,2.087,0.494,65.06
PC71BM,bulk,polymer,COc1c2cc(-c3ccc(C4=C5C(=O)N(C)C(c6cccs6)=C5C(=O)N4C)s3)sc2c(OC)c2ccsc21,-0.183,-0.106,0.078,1.988,0.384,79.7
PC71BM,bulk,polymer,COc1c2cc(-c3cccs3)sc2c(OC)c2cc(-c3ccc(-c4ccc5c(c4)N(C)C(=O)C5=C4c5ccccc5N(C)C4=O)s3)sc21,-0.19,-0.113,0.077,3.017,0.561,82.8
C60,bilayer,molecule,Cc1ccc(-c2ccc(-c3ccc(-c4ccc(N(c5ccc(-c6ccc(-c7ccc(-c8ccc(C)s8)s7)s6)cc5)c5ccc(-c6ccc(-c7ccc(-c8ccc(C)s8)s7)s6)cc5)cc4)s3)s2)s1,-0.174,-0.078,0.096,0.283,0.133,32.87
TiO2,DSSC,molecule,N#CC(=Cc1cc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)c(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1)C(=O)O,-0.186,-0.107,0.079,2.251,0.466,74.54
PC61BM,bulk,polymer,COC(=O)c1cc2csc(-c3cc4c(s3)c(C)c3ccsc3c4C)c2s1,-0.192,-0.083,0.109,0.554,0.613,13.95
PC71BM,bulk,polymer,COC(=O)c1sc2c(-c3ccc(-c4cc5c(s4)c(-c4ccc(OC)cc4)c4ccsc4c5-c4ccc(OC)cc4)s3)sc(-c3cccs3)c2c1F,-0.184,-0.097,0.087,1.328,0.393,52.04
PC61BM,bulk,molecule,COC(=O)C(C#N)=Cc1cc(C)c(-c2ccc(-c3sc(-c4cc5c(s4)c(OC)c4cc(-c6cc(C)c(-c7ccc(-c8sc(C=C(C#N)C(=O)OC)cc8C)s7)s6)sc4c5OC)cc3C)s2)s1,-0.191,-0.114,0.076,3.217,0.586,84.87
TiO2,DSSC,molecule,Cn1c(-c2ccc(C=C(C#N)C(=O)O)s2)ccc1-c1ccc2c(c1)C(C)(C)c1cc(N(c3ccccc3)c3ccccc3)ccc1-2,-0.19,-0.102,0.088,1.855,0.579,49.31
TiO2,DSSC,molecule,Cn1c(-c2ccc(C=C(C#N)C(=O)O)s2)ccc1-c1ccc2c(c1)C(C)(C)c1cc(N(c3ccccc3)c3ccccc3)ccc1-2,-0.19,-0.102,0.088,1.83,0.582,48.45
PC61BM,bulk,molecule,COC(=O)C(C#N)=Cc1cc(C)c(-c2cc(C)c(-c3ccc(-c4sc(-c5sc(C=C(C#N)C(=O)OC)cc5C)cc4C)s3)s2)s1,-0.198,-0.119,0.079,3.831,0.777,76.05
PC71BM,bulk,polymer,C[Si]1(C)c2ccsc2-c2sc(-c3nc4sc(-c5cc6c(s5)-c5sc(-c7cc8sccc8s7)cc5[Si]6(C)C)nc4s3)cc21,-0.18,-0.096,0.084,1.156,0.298,59.68
PC61BM,bulk,polymer,COc1c2ccsc2c(OC)c2cc(-c3sc(-c4scc5c4C4C=CC5CC4(C)C)c4c3C3C=CC4C(C)(C)C3)sc21,-0.188,-0.066,0.122,0.174,0.51,5.27
PC71BM,bulk,polymer,CN1C(=O)C2=C(c3ccc(-c4cc5c(s4)-c4sccc4[Si]5(C)C)s3)N(C)C(=O)C2=C1c1cccs1,-0.179,-0.103,0.076,1.483,0.271,84.26
PC71BM,bulk,polymer,COc1c2ccsc2c(OC)c2c1=S=C(c1cc(C)c(-c3ccc(-c4sc(-c5nc(C)c(-c6ccc(-c7sccc7C)s6)s5)nc4C)s3)s1)C=2,-0.181,-0.096,0.085,1.166,0.318,56.6
PC61BM,bulk,polymer,Cc1ccsc1-c1sc(-c2sc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc2C)c2nc3c4ccccc4c4ccccc4c3nc21,-0.187,-0.105,0.081,2.114,0.479,68.05
PC61BM,bulk,polymer,C#Cc1cc2c(s1)c1sc(C#Cc3scc4nc(-c5ccccc5)c(-c5ccccc5)nc34)cc1n2C,-0.185,-0.101,0.084,1.69,0.434,59.9
TiO2,DSSC,molecule,CC1(C)c2cc(-c3ccc(C=C(C#N)C(=O)O)s3)ccc2-c2ccc(N(c3ccccc3)c3c4ccccc4cc4ccccc43)cc21,-0.194,-0.106,0.088,2.155,0.671,49.44
PC61BM,bilayer,molecule,CC1(C)c2cc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(C=C(C#N)C#N)s6)s5)s4)s3)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,-0.189,-0.121,0.068,4.135,0.534,119.15
PC61BM,bulk,polymer,Cc1ccsc1-c1nc2sc(-c3sc(-c4cc(C)c(-c5nc6sc(-c7sccc7C)nc6s5)s4)cc3C)nc2s1,-0.188,-0.103,0.085,1.921,0.516,57.33
TiO2,DSSC,molecule,CC1(C)CC(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)=CC(=C(C#N)C(=O)O)C1,-0.197,-0.105,0.093,1.935,0.761,39.15
TiO2,DSSC,molecule,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc(-c4ccc(C=C(C#N)C(=O)O)s4)s3)cc2)cc1,-0.186,-0.106,0.079,2.168,0.45,74.14
PC71BM,bulk,polymer,Cc1ccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5ccc6c7ccccc7n(C)c6c5)s4)c3nc2-c2ccc(C)s2)s1,-0.187,-0.091,0.096,1.017,0.485,32.29
C60,bulk,molecule,Cn1c2ccc(C=C(C#N)C#N)cc2c2cc(C=C(C#N)C#N)ccc21,-0.244,-0.121,0.123,0.606,2.033,4.59
PC71BM,bulk,polymer,COc1c2ccsc2c(OC)c2cc(-c3sc(-c4ccc(-c5cc(C)cs5)c5nsnc54)cc3C)sc21,-0.185,-0.106,0.079,2.142,0.446,74.65
PC71BM,bulk,polymer,COC(=O)c1sc2c(-c3ccc(-c4cc5c(s4)c(-c4ccc(C)s4)c4ccsc4c5-c4ccc(C)s4)s3)sc(-c3cccs3)c2c1F,-0.184,-0.098,0.086,1.45,0.417,53.55
PC71BM,bulk,polymer,Cc1csc(-c2cc3c4nsnc4c(-c4cc(C)c(-c5cc6c(s5)c(-c5cc(C)c(C)s5)c5ccsc5c6C5=S=C(C)C(C)=C5)s4)cc3c3nsnc32)c1,-0.184,-0.114,0.07,2.909,0.412,108.88
PC71BM,bulk,polymer,COC(=O)c1cc2csc(-c3cc4c(s3)c(OC)c3ccsc3c4OC)c2s1,-0.192,-0.083,0.109,0.553,0.625,13.71
ICBA,bulk,polymer,Cc1ccsc1,-0.232,-0.013,0.219,0.0,1.713,0.0
PC71BM,bulk,polymer,COc1c2cc(-c3cc4c(s3)-c3sc(-c5nc6sc(-c7cc8c(s7)-c7sccc7[Si]8(C)C)nc6s5)cc3[Si]4(C)C)sc2c(OC)c2ccsc21,-0.18,-0.097,0.083,1.2,0.298,61.98
PC71BM,bulk,polymer,COCc1sc2c(csc2-c2cc3c(s2)c(OC)c2ccsc2c3OC)c1F,-0.19,-0.073,0.117,0.271,0.572,7.34
PC61BM,bulk,polymer,C#Cc1sc(C#Cc2scc3nc(-c4ccccc4)c(-c4ccccc4)nc23)c(C)c1C,-0.196,-0.102,0.094,1.709,0.73,36.03
PC61BM,bulk,molecule,CC1(C)c2ccccc2-c2ccc(-c3cc4c5cccc6c7cccc8c9cc(-c%10ccc%11c(c%10)C(C)(C)c%10ccccc%10-%11)cc%10c%11cccc%12c%13cccc%14c(c3)c4c3c(c65)c(c78)c(c9%10)c(c%12%11)c3c%13%14)cc21,-0.197,-0.076,0.121,0.279,0.75,5.72
PC61BM,bulk,molecule,COC(=O)C(C#N)=Cc1cc(C)c(-c2cc(C)c(-c3cc(C)c(-c4cc5cc6sc(-c7sc(-c8sc(-c9sc(C=C(C#N)C(=O)OC)cc9C)cc8C)cc7C)cc6cc5s4)s3)s2)s1,-0.19,-0.114,0.076,3.187,0.569,86.62
PC61BM,bulk,polymer,Cc1ccsc1-c1sc(-c2sc(C3=S=C(c4sccc4C)C=C3C)cc2C)c2nc3c4ccccc4c4ccccc4c3nc21,-0.178,-0.105,0.073,1.553,0.253,97.23
PC61BM,bulk,molecule,COC(=O)C(C#N)=Cc1cc(C)c(-c2cc(C)c(-c3cc(C)c(-c4ccc(-c5sc(-c6sc(-c7sc(C=C(C#N)C(=O)OC)cc7C)cc6C)cc5C)s4)s3)s2)s1,-0.188,-0.115,0.073,3.204,0.512,96.73
PC71BM,bulk,polymer,Cc1csc(-c2ccc(-c3cc(C)c(-c4cc5c(s4)c(-c4cc(C)c(C)s4)c4ccsc4c5-c4cc(C)c(C)s4)s3)c3nsnc32)c1,-0.182,-0.105,0.077,1.907,0.365,80.54
TiO2,DSSC,molecule,N#CC(=Cc1ccc(-c2ccc(-c3ccc(C=C(C#N)c4ccc([N+](=O)[O-])cc4)s3)c3c2C(=O)N(c2ccc(C(=O)O)cc2)C3=O)s1)c1ccc([N+](=O)[O-])cc1,-0.234,-0.138,0.096,3.679,1.771,32.04
C60,bulk,polymer,Cc1nc(-c2nc(C)c(-c3ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)s3)s2)sc1-c1cccs1,-0.19,-0.091,0.099,0.993,0.566,27.03
PC71BM,bulk,polymer,Cc1cc(C)c(-c2c3cc(-c4ccc(-c5ccc(-c6cccs6)c6nsnc65)s4)sc3c(-c3sc(C)cc3C)c3ccsc32)s1,-0.189,-0.108,0.081,2.402,0.543,68.08
PC71BM,bulk,polymer,CN1C(=O)C2=C(c3ccc(-c4cc5c(s4)-c4sccc4C5(C)C)s3)N(C)C(=O)C2=C1c1cccs1,-0.178,-0.103,0.075,1.385,0.244,87.5
PC61BM,bulk,polymer,CN1C(=O)C2=C(c3ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)s3)N(C)C(=O)C2=C1c1cccs1,-0.183,-0.102,0.081,1.728,0.38,70.03
TiO2,DSSC,molecule,Cn1c(-c2ccc(C=C(C#N)C(=O)O)s2)ccc1-c1ccc2c(c1)c1cc(N(c3ccccc3)c3ccccc3)ccc1n2C,-0.188,-0.1,0.088,1.672,0.514,50.08
TiO2,DSSC,molecule,N#CC(=Cc1ccc(C(C#N)=Cc2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1)C(=O)O,-0.2,-0.12,0.08,3.969,0.847,72.09
PC71BM,bulk,polymer,COc1cccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5cc6c(s5)c(OC)c5ccsc5c6OC)s4)c3nc2-c2cccc(OC)c2)c1,-0.187,-0.096,0.091,1.327,0.484,42.24
PC71BM,bulk,molecule,Cc1ccc(-c2ccc(-c3cc(F)c(-c4cc5c(s4)-c4sc(-c6c7nsnc7c(-c7ccc(-c8ccc(C)s8)s7)cc6F)cc4[Si]5(C)C)c4nsnc43)s2)s1,-0.176,-0.112,0.064,1.753,0.197,137.1
